127.0.0.1 - - [23/Jul/2024:13:07:25 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:07:25 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:07:25 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:07:25 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:08:22 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:08:26 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:09:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:09:36 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:09:42 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:09:58 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:10:00 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:11:08 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:13:24 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:13:24 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5368
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:13:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:16:44 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:16:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:51 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2345
0:0:0:0:0:0:0:1 - - [23/Jul/2024:13:27:58 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 200 2325
