127.0.0.1 - - [13/Aug/2024:15:35:13 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:35:14 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:35:14 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:35:16 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:35:17 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:35:21 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:36:56 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:36:56 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:36:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:40:55 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:40:57 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:40:57 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:41:17 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2250
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:41:55 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:42:25 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:42:47 +0530] "POST /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2248
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:55:52 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:55:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:55:55 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:55:55 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [13/Aug/2024:15:55:55 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:38:07 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5573
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:38:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:32 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:32 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:53 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5573
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:54 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:43:57 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2296
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:01 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:03 +0530] "GET /ORS_Project4/ForgetPasswordCtl HTTP/1.1" 200 2208
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:11 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:11 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:45 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5590
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:54 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5561
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:44:59 +0530] "POST /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5597
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:45:00 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Aug/2024:16:48:21 +0530] "GET /ORS_Project4/UserRegistrationCtl HTTP/1.1" 200 5374
