127.0.0.1 - - [07/Sep/2024:00:19:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:19:51 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:19:51 +0530] "GET /ORS_Project4/img/customLogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:22:51 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:22:53 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2302
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:04 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:04 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2811
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:07 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:07 +0530] "GET /ORS_Project4/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:07 +0530] "GET /ORS_Project4/js/Checkbox11.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:28 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:34 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:23:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:25:54 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:25:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:19 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9340
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:23 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:25 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9340
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:30 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:26:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:52:12 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:52:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:52:16 +0530] "GET /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9436
0:0:0:0:0:0:0:1 - - [07/Sep/2024:00:52:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:06:33 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9340
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:06:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:06:37 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:06:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:06:43 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 9340
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:06:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:22:18 +0530] "POST /ORS_Project4/ctl/UserListCtl HTTP/1.1" 200 6780
0:0:0:0:0:0:0:1 - - [07/Sep/2024:01:22:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
