127.0.0.1 - - [10/Oct/2024:10:31:20 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:21 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:21 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:23 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:23 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:24 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:32 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:32 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 2894
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:35 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:31:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:03 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:32 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:37 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:33:37 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:35 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:39 +0530] "POST /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6348
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:42 +0530] "POST /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:42 +0530] "GET /ORS_Project4/ctl/CustomerListCtl HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:34:42 +0530] "GET /ORS_Project4/img/customLogo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:16 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:18 +0530] "POST /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:18 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:23 +0530] "POST /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:23 +0530] "GET /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6244
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:23 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:27 +0530] "POST /ORS_Project4/ctl/CustomerCtl HTTP/1.1" 200 6325
0:0:0:0:0:0:0:1 - - [10/Oct/2024:10:35:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
