127.0.0.1 - - [13/Nov/2024:16:22:58 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:22:58 +0530] "GET /ORS_Project4/ HTTP/1.1" 200 521
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:22:59 +0530] "GET /ORS_Project4/img/logo.png HTTP/1.1" 404 896
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:05 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:05 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:07 +0530] "GET /ORS_Project4/LoginCtl HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:14 +0530] "POST /ORS_Project4/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:14 +0530] "GET /ORS_Project4/WelcomeCtl HTTP/1.1" 200 3848
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:31 +0530] "GET /ORS_Project4/ctl/TransportationListCtl HTTP/1.1" 200 8393
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:34 +0530] "POST /ORS_Project4/ctl/TransportationListCtl HTTP/1.1" 200 8431
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:34 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:43 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8177
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:44 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:47 +0530] "POST /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8221
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:52 +0530] "GET /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6718
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:52 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:56 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6811
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:23:56 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:03 +0530] "GET /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:05 +0530] "GET /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:08 +0530] "GET /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:51 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6733
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:54 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6826
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:26:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:19 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6854
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:25 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6854
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:25 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:33 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6829
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:50 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6809
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:27:50 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:28:19 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6796
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:28:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:15 +0530] "POST /ORS_Project4/ctl/StaffCtl HTTP/1.1" 200 6810
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:24 +0530] "GET /ORS_Project4/ctl/StaffListCtl HTTP/1.1" 200 8228
0:0:0:0:0:0:0:1 - - [13/Nov/2024:16:29:24 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
